Date,equity
2022-08-01,10573.623193410585
2022-08-02,10573.623193410585
2022-08-03,10573.623193410585
2022-08-04,10573.623193410585
2022-08-05,10573.623193410585
2022-08-08,10573.623193410585
2022-08-09,10573.623193410585
2022-08-10,10573.623193410585
2022-08-11,10573.623193410585
2022-08-12,10573.623193410585
2022-08-15,10573.623193410585
2022-08-16,10573.623193410585
2022-08-17,10573.623193410585
2022-08-18,10573.623193410585
2022-08-19,10573.623193410585
2022-08-22,10573.623193410585
2022-08-23,10573.623193410585
2022-08-24,10573.623193410585
2022-08-25,10573.623193410585
2022-08-26,10573.623193410585
2022-08-29,10573.623193410585
2022-08-30,10573.623193410585
2022-08-31,10573.623193410585
2022-09-01,10573.623193410585
2022-09-02,10573.623193410585
2022-09-06,10573.623193410585
2022-09-07,10573.623193410585
2022-09-08,10573.623193410585
2022-09-09,10573.623193410585
2022-09-12,10573.623193410585
2022-09-13,10573.623193410585
2022-09-14,10573.623193410585
2022-09-15,10573.623193410585
2022-09-16,10492.959682757422
2022-09-19,10574.329717370465
2022-09-20,10452.95254654835
2022-09-21,10270.614683115678
2022-09-22,10184.342379063766
2022-09-23,10013.707295173219
2022-09-26,9914.64204684316
2022-09-27,9889.333907263657
2022-09-28,10083.920500575481
2022-09-29,9873.277412509686
2022-09-30,9720.601403865523
2022-10-03,9977.23885452108
2022-10-04,10286.399504653242
2022-10-05,10262.449731161469
2022-10-06,10156.583104764828
2022-10-07,9873.277412509686
2022-10-10,9797.890264452146
2022-10-11,9735.842878967424
2022-10-12,9703.728153527132
2022-10-13,9959.819653848503
2022-10-14,9732.849265778503
2022-10-17,9982.95267175301
2022-10-18,10100.24780058253
2022-10-19,10028.673625194013
2022-10-20,9944.580782645126
2022-10-21,10186.24843141519
2022-10-24,10310.891756611656
2022-10-25,10475.54135005102
2022-10-26,10396.618978295557
2022-10-27,10341.101297663854
2022-10-28,10587.12092571626
2022-10-31,10510.648820716904
2022-11-01,10510.648820716904
2022-11-02,10510.648820716904
2022-11-03,10510.648820716904
2022-11-04,10510.648820716904
2022-11-07,10611.18898261066
2022-11-08,10668.440858420194
2022-11-09,10668.440858420194
2022-11-10,10668.440858420194
2022-11-11,10668.440858420194
2022-11-14,10668.440858420194
2022-11-15,10668.440858420194
2022-11-16,10668.440858420194
2022-11-17,10668.440858420194
2022-11-18,10668.440858420194
2022-11-21,10668.440858420194
2022-11-22,10668.440858420194
2022-11-23,10668.440858420194
2022-11-25,10668.440858420194
2022-11-28,10668.440858420194
2022-11-29,10668.440858420194
2022-11-30,10668.440858420194
2022-12-01,10668.440858420194
2022-12-02,10668.440858420194
2022-12-05,10668.440858420194
2022-12-06,10668.440858420194
2022-12-07,10668.440858420194
2022-12-08,10668.440858420194
2022-12-09,10668.440858420194
2022-12-12,10668.440858420194
2022-12-13,10668.440858420194
2022-12-14,10668.440858420194
2022-12-15,10668.440858420194
2022-12-16,10668.440858420194
2022-12-19,10668.440858420194
2022-12-20,10668.440858420194
2022-12-21,10668.440858420194
2022-12-22,10668.440858420194
2022-12-23,10668.440858420194
2022-12-27,10668.440858420194
2022-12-28,10668.440858420194
2022-12-29,10668.440858420194
2022-12-30,10640.339412646063
2023-01-03,10595.546163868514
2023-01-04,10677.34721655497
2023-01-05,10555.481243475362
2023-01-06,10797.541977734425
2023-01-09,10797.541977734425
2023-01-10,10797.541977734425
2023-01-11,10797.541977734425
2023-01-12,10797.541977734425
2023-01-13,10797.541977734425
2023-01-17,10797.541977734425
2023-01-18,10797.541977734425
2023-01-19,10797.541977734425
2023-01-20,10797.541977734425
2023-01-23,10797.541977734425
2023-01-24,10797.541977734425
2023-01-25,10797.541977734425
2023-01-26,10797.541977734425
2023-01-27,10797.541977734425
2023-01-30,10797.541977734425
2023-01-31,10797.541977734425
2023-02-01,10797.541977734425
2023-02-02,10797.541977734425
2023-02-03,10797.541977734425
2023-02-06,10797.541977734425
2023-02-07,10797.541977734425
2023-02-08,10797.541977734425
2023-02-09,10797.541977734425
2023-02-10,10797.541977734425
2023-02-13,10797.541977734425
2023-02-14,10797.541977734425
2023-02-15,10797.541977734425
2023-02-16,10797.541977734425
2023-02-17,10797.541977734425
2023-02-21,10797.541977734425
2023-02-22,10797.541977734425
2023-02-23,10797.541977734425
2023-02-24,10797.541977734425
2023-02-27,10797.541977734425
2023-02-28,10797.541977734425
2023-03-01,10797.541977734425
2023-03-02,10797.541977734425
2023-03-03,10797.541977734425
2023-03-06,10797.541977734425
2023-03-07,10797.541977734425
2023-03-08,10797.541977734425
2023-03-09,10797.541977734425
2023-03-10,10797.541977734425
2023-03-13,10797.541977734425
2023-03-14,10797.541977734425
2023-03-15,10797.541977734425
2023-03-16,10797.541977734425
2023-03-17,10797.541977734425
2023-03-20,10797.541977734425
2023-03-21,10797.541977734425
2023-03-22,10797.541977734425
2023-03-23,10797.541977734425
2023-03-24,10797.541977734425
2023-03-27,10797.541977734425
2023-03-28,10797.541977734425
2023-03-29,10797.541977734425
2023-03-30,10797.541977734425
2023-03-31,10797.541977734425
2023-04-03,10797.541977734425
2023-04-04,10797.541977734425
2023-04-05,10797.541977734425
2023-04-06,10797.541977734425
2023-04-10,10797.541977734425
2023-04-11,10797.541977734425
2023-04-12,10797.541977734425
2023-04-13,10797.541977734425
2023-04-14,10797.541977734425
2023-04-17,10797.541977734425
2023-04-18,10797.541977734425
2023-04-19,10797.541977734425
2023-04-20,10797.541977734425
2023-04-21,10797.541977734425
2023-04-24,10797.541977734425
2023-04-25,10797.541977734425
2023-04-26,10797.541977734425
2023-04-27,10797.541977734425
2023-04-28,10797.541977734425
2023-05-01,10797.541977734425
2023-05-02,10797.541977734425
2023-05-03,10797.541977734425
2023-05-04,10797.541977734425
2023-05-05,10797.541977734425
2023-05-08,10797.541977734425
2023-05-09,10797.541977734425
2023-05-10,10797.541977734425
2023-05-11,10797.541977734425
2023-05-12,10797.541977734425
2023-05-15,10797.541977734425
2023-05-16,10797.541977734425
2023-05-17,10797.541977734425
2023-05-18,10797.541977734425
2023-05-19,10797.541977734425
2023-05-22,10797.541977734425
2023-05-23,10797.541977734425
2023-05-24,10797.541977734425
2023-05-25,10797.541977734425
2023-05-26,10797.541977734425
2023-05-30,10797.541977734425
2023-05-31,10797.541977734425
2023-06-01,10797.541977734425
2023-06-02,10797.541977734425
2023-06-05,10797.541977734425
2023-06-06,10797.541977734425
2023-06-07,10797.541977734425
2023-06-08,10797.541977734425
2023-06-09,10797.541977734425
2023-06-12,10797.541977734425
2023-06-13,10797.541977734425
2023-06-14,10797.541977734425
2023-06-15,10797.541977734425
2023-06-16,10797.541977734425
2023-06-20,10797.541977734425
2023-06-21,10797.541977734425
2023-06-22,10797.541977734425
2023-06-23,10797.541977734425
2023-06-26,10797.541977734425
2023-06-27,10797.541977734425
2023-06-28,10797.541977734425
2023-06-29,10797.541977734425
2023-06-30,10797.541977734425
2023-07-03,10797.541977734425
2023-07-05,10797.541977734425
2023-07-06,10797.541977734425
2023-07-07,10797.541977734425
2023-07-10,10797.541977734425
2023-07-11,10797.541977734425
2023-07-12,10797.541977734425
2023-07-13,10797.541977734425
2023-07-14,10797.541977734425
2023-07-17,10797.541977734425
2023-07-18,10797.541977734425
2023-07-19,10797.541977734425
2023-07-20,10797.541977734425
2023-07-21,10797.541977734425
2023-07-24,10797.541977734425
2023-07-25,10797.541977734425
2023-07-26,10797.541977734425
2023-07-27,10797.541977734425
2023-07-28,10797.541977734425
2023-07-31,10797.541977734425
2023-08-01,10797.541977734425
2023-08-02,10797.541977734425
2023-08-03,10797.541977734425
2023-08-04,10797.541977734425
2023-08-07,10797.541977734425
2023-08-08,10797.541977734425
2023-08-09,10797.541977734425
2023-08-10,10797.541977734425
2023-08-11,10797.541977734425
2023-08-14,10797.541977734425
2023-08-15,10797.541977734425
2023-08-16,10797.541977734425
2023-08-17,10797.541977734425
2023-08-18,10797.541977734425
2023-08-21,10797.541977734425
2023-08-22,10797.541977734425
2023-08-23,10797.541977734425
2023-08-24,10797.541977734425
2023-08-25,10797.541977734425
2023-08-28,10797.541977734425
2023-08-29,10797.541977734425
2023-08-30,10797.541977734425
2023-08-31,10797.541977734425
2023-09-01,10797.541977734425
2023-09-05,10797.541977734425
2023-09-06,10797.541977734425
2023-09-07,10797.541977734425
2023-09-08,10797.541977734425
2023-09-11,10797.541977734425
2023-09-12,10797.541977734425
2023-09-13,10797.541977734425
2023-09-14,10797.541977734425
2023-09-15,10797.541977734425
2023-09-18,10797.541977734425
2023-09-19,10797.541977734425
2023-09-20,10797.541977734425
2023-09-21,10797.541977734425
2023-09-22,10797.541977734425
2023-09-25,10797.541977734425
2023-09-26,10797.541977734425
2023-09-27,10797.541977734425
2023-09-28,10797.541977734425
2023-09-29,10797.541977734425
2023-10-02,10797.541977734425
2023-10-03,10797.541977734425
2023-10-04,10797.541977734425
2023-10-05,10797.541977734425
2023-10-06,10797.541977734425
2023-10-09,10797.541977734425
2023-10-10,10797.541977734425
2023-10-11,10797.541977734425
2023-10-12,10797.541977734425
2023-10-13,10797.541977734425
2023-10-16,10797.541977734425
2023-10-17,10797.541977734425
2023-10-18,10797.541977734425
2023-10-19,10797.541977734425
2023-10-20,10797.541977734425
2023-10-23,10797.541977734425
2023-10-24,10797.541977734425
2023-10-25,10797.541977734425
2023-10-26,10797.541977734425
2023-10-27,10797.541977734425
2023-10-30,10797.541977734425
2023-10-31,10797.541977734425
2023-11-01,10797.541977734425
2023-11-02,10797.541977734425
2023-11-03,10797.541977734425
2023-11-06,10797.541977734425
2023-11-07,10797.541977734425
2023-11-08,10797.541977734425
2023-11-09,10797.541977734425
2023-11-10,10797.541977734425
2023-11-13,10797.541977734425
2023-11-14,10797.541977734425
2023-11-15,10797.541977734425
2023-11-16,10797.541977734425
2023-11-17,10797.541977734425
2023-11-20,10797.541977734425
2023-11-21,10797.541977734425
2023-11-22,10797.541977734425
2023-11-24,10797.541977734425
2023-11-27,10797.541977734425
2023-11-28,10797.541977734425
2023-11-29,10797.541977734425
2023-11-30,10797.541977734425
2023-12-01,10797.541977734425
2023-12-04,10797.541977734425
2023-12-05,10797.541977734425
2023-12-06,10797.541977734425
2023-12-07,10797.541977734425
2023-12-08,10797.541977734425
2023-12-11,10797.541977734425
2023-12-12,10797.541977734425
2023-12-13,10797.541977734425
2023-12-14,10797.541977734425
2023-12-15,10797.541977734425
2023-12-18,10797.541977734425
2023-12-19,10797.541977734425
2023-12-20,10797.541977734425
2023-12-21,10797.541977734425
2023-12-22,10797.541977734425
2023-12-26,10797.541977734425
2023-12-27,10797.541977734425
2023-12-28,10797.541977734425
2023-12-29,10797.541977734425
2024-01-02,10797.541977734425
2024-01-03,10797.541977734425
2024-01-04,10797.541977734425
2024-01-05,10797.541977734425
2024-01-08,10797.541977734425
2024-01-09,10797.541977734425
2024-01-10,10797.541977734425
2024-01-11,10797.541977734425
2024-01-12,10797.541977734425
2024-01-16,10797.541977734425
2024-01-17,10797.541977734425
2024-01-18,10797.541977734425
2024-01-19,10797.541977734425
2024-01-22,10797.541977734425
2024-01-23,10797.541977734425
2024-01-24,10797.541977734425
2024-01-25,10797.541977734425
2024-01-26,10797.541977734425
2024-01-29,10797.541977734425
2024-01-30,10797.541977734425
2024-01-31,10797.541977734425
2024-02-01,10797.541977734425
2024-02-02,10797.541977734425
2024-02-05,10797.541977734425
