date,ic_mom63,ic_score
2016-10-19 00:00:00,-0.307692,-0.335165
2016-10-20 00:00:00,-0.082418,0.186813
2016-10-21 00:00:00,0.274725,0.659341
2016-10-24 00:00:00,-0.543956,-0.500000
2016-10-25 00:00:00,0.153846,0.148352
2016-10-26 00:00:00,-0.016484,0.054945
2016-10-27 00:00:00,-0.153846,-0.164835
2016-10-28 00:00:00,-0.549451,-0.456044
2016-10-31 00:00:00,-0.252747,-0.505495
2016-11-01 00:00:00,-0.620879,-0.324176
2016-11-02 00:00:00,0.186813,-0.087912
2016-11-03 00:00:00,-0.593407,-0.620879
2016-11-04 00:00:00,-0.093407,0.131868
2016-11-07 00:00:00,0.335165,0.543956
2016-11-08 00:00:00,0.313187,0.087912
2016-11-09 00:00:00,0.417582,0.263736
2016-11-10 00:00:00,0.395604,0.560440
2016-11-11 00:00:00,0.763736,0.351648
2016-11-14 00:00:00,-0.346154,-0.340659
2016-11-15 00:00:00,-0.510989,-0.258242
2016-11-16 00:00:00,0.456044,0.554945
2016-11-17 00:00:00,0.807692,0.472527
2016-11-18 00:00:00,0.203297,0.203297
2016-11-21 00:00:00,0.241758,0.461538
2016-11-22 00:00:00,0.763736,0.571429
2016-11-23 00:00:00,-0.005495,0.230769
2016-11-25 00:00:00,-0.818681,-0.450549
2016-11-28 00:00:00,-0.285714,-0.060440
2016-11-29 00:00:00,0.747253,0.659341
2016-11-30 00:00:00,0.714286,0.554945
2016-12-01 00:00:00,-0.774725,-0.840659
2016-12-02 00:00:00,0.626374,0.505495
2016-12-05 00:00:00,0.208791,0.417582
2016-12-06 00:00:00,0.373626,0.543956
2016-12-07 00:00:00,0.571429,0.554945
2016-12-08 00:00:00,-0.153846,0.049451
2016-12-09 00:00:00,-0.565934,-0.560440
2016-12-12 00:00:00,-0.054945,-0.060440
2016-12-13 00:00:00,0.010989,0.230769
2016-12-14 00:00:00,0.181319,0.021978
2016-12-15 00:00:00,-0.269231,-0.318681
2016-12-16 00:00:00,-0.296703,-0.032967
2016-12-19 00:00:00,0.708791,0.818681
2016-12-20 00:00:00,-0.417582,-0.576923
2016-12-21 00:00:00,-0.104396,-0.170330
2016-12-22 00:00:00,-0.510989,-0.395604
2016-12-23 00:00:00,-0.060440,0.021978
2016-12-27 00:00:00,-0.741758,-0.412088
2016-12-28 00:00:00,-0.752747,-0.554945
2016-12-29 00:00:00,0.346154,0.164835
