date,close,ma_short,ma_long,signal,position
2020-12-14,338.9566345215,338.101460266115,327.044151611332,1,1
2020-12-15,343.5391540527,338.42771911620997,327.598699951176,1,1
2020-12-16,344.0782165527,338.87156219482,328.253821411136,1,1
2020-12-17,346.0023498535,339.61331787109,328.83904357910404,1,1
2020-12-18,344.6207580566,340.21627960204495,329.340493164064,1,1
2020-12-21,343.3885498047,340.871496582025,329.760224609376,1,1
2020-12-22,342.8098144531,341.398780822745,330.0646484375,1,1
2020-12-23,343.1179199219,341.67377319335003,330.41799072265604,1,1
2020-12-24,344.4527282715,342.04152984618497,330.838928222656,1,1
2020-12-28,347.4119262695,342.510304260245,331.327044067382,1,1
2020-12-29,346.7490844727,343.02076263427,331.805806884766,1,1
2020-12-30,347.2438354492,343.37191619872,332.39262084960995,1,1
2020-12-31,349.0081787109,343.77550201415,332.989252929688,1,1
2021-01-04,344.2566833496,343.946156311025,333.50293823242197,1,1
2021-01-05,346.6278076172,344.08850555419,334.02909851074196,1,1
2021-01-06,348.7001342773,344.36979675291997,334.574953002928,1,1
2021-01-07,353.8809204102,,,0,0
2021-01-08,355.8971862793,,,0,0
2021-01-11,353.4981384277,,,0,0
2021-01-12,353.5728149414,,,0,0
2021-01-13,354.5250549316,,,0,0
2021-01-14,353.2834777832,,,0,0
2021-01-15,350.7071228027,,,0,0
2021-01-19,353.4608154297,,,0,0
2021-01-20,358.3522338867,,,0,0
2021-01-21,358.678894043,,,0,0
2021-01-22,357.4094543457,,,0,0
2021-01-25,358.8190002441,,,0,0
2021-01-26,358.2588806152,,,0,0
2021-01-27,349.5028991699,,,0,0
2021-01-28,352.5086669922,,,0,0
2021-01-29,345.4515686035,,,0,0
2021-02-01,351.2017822266,,,0,0
2021-02-02,356.1679077148,353.5252380371,,0,0
2021-02-03,356.4479675293,354.016246032705,,0,0
2021-02-04,360.499206543,354.60619964599,,0,0
2021-02-05,361.9180297852,355.00805511474,,0,0
2021-02-08,364.5318908691,355.43979034423,,0,0
2021-02-09,364.2891235352,355.979339599605,,0,0
2021-02-10,364.1304626465,356.50722198485994,,0,0
2021-02-11,364.7185058594,357.01689453125,,0,0
2021-02-12,366.520111084,357.67872619629003,,0,0
2021-02-16,366.2027587891,358.45350799561,,0,0
2021-02-17,366.2867736816,359.09480590820505,,0,0
2021-02-18,364.7279052734,359.41358947754,,0,0
2021-02-19,364.083770752,359.68383331299003,,0,0
2021-02-22,361.2832641602,359.877523803715,,0,0
2021-02-23,361.7221374512,360.02268066407,,0,0
2021-02-24,365.7080078125,360.39513702393504,,0,0
2021-02-25,356.8960876465,360.764796447765,,0,0
2021-02-26,355.0570068359,360.89221343995,,0,0
2021-03-01,363.6636962891,361.80281982422997,,0,0
2021-03-02,360.8259887695,362.284030151375,,0,0
2021-03-03,356.0464782715,362.27795867921,,0,0
2021-03-04,351.6405639648,362.037588500985,,0,0
2021-03-05,358.1095275879,361.91810455322997,,0,0
2021-03-08,356.3265380859,361.638529968265,,0,0
2021-03-09,361.4140930176,361.48264007569003,,0,0
2021-03-10,363.6636962891,361.451368713385,,0,0
2021-03-11,367.3509521484,361.61239318848004,,0,0
2021-03-12,367.845703125,361.76875305176,,0,0
2021-03-15,370.0393981934,361.94471740723003,,0,0
2021-03-16,369.5726013184,362.113209533695,,0,0
2021-03-17,370.8327941895,362.34051055909,359.057196044924,1,0
2021-03-18,365.4373168945,362.375981140145,359.43338623047003,1,1
2021-03-19,364.7611694336,362.409851074225,359.754606933596,1,1
2021-03-22,367.6737670898,362.729376220705,360.030463867188,1,1
2021-03-23,364.779876709,362.882263183595,360.20811767578203,1,1
2021-03-24,362.9255371094,362.74313964844,360.396665649416,1,1
2021-03-25,364.9671630859,363.14669342041003,360.624552612306,1,1
2021-03-26,370.8486328125,363.93627471924003,360.951024169924,1,1
2021-03-29,370.661315918,364.286155700685,361.29858093262004,1,1
2021-03-30,369.6780090332,364.72875671387,361.67799865723,1,1
2021-03-31,371.176361084,365.485250854495,362.032309570316,1,1
2021-04-01,375.184753418,366.662460327155,362.368959960942,1,1
2021-04-05,380.5698242188,367.7854751587,362.806778564458,1,1
2021-04-06,380.3450622559,368.9864013672,363.265490722662,1,1
2021-04-07,380.7852172852,369.95495758058,363.70481506348403,1,1
2021-04-08,382.5927429199,370.90140991212,364.19149230957805,1,1
2021-04-09,385.374206543,371.80257263185,364.90891845704,1,1
2021-04-12,385.5147094727,372.686022949235,365.56903930665,1,1
2021-04-13,386.6573486328,373.516920471205,366.393154907236,1,1
2021-04-14,385.3368225098,374.305131530775,367.0758557129,1,1
2021-04-15,389.4762878418,375.23730621339,367.74202331544,1,1
2021-04-16,390.7780151367,376.5043411255,368.428624267588,1,1
2021-04-19,388.8581848145,377.70919189454503,368.995803833018,1,1
2021-04-20,386.011138916,378.626060485855,369.47766601563404,1,1
2021-04-21,389.6635742188,379.87024536134504,369.98029968262796,1,1
2021-04-22,386.1047363281,381.02920532228,370.416611938486,1,1
2021-04-23,390.2911071777,382.29540252686996,370.93982482911,1,1
2021-04-26,391.1058044434,383.30826110841497,371.46757080079,1,1
2021-04-27,391.021484375,384.326269531265,371.95759826661,1,1
2021-04-28,390.9091796875,385.38782806398,372.451726684578,1,1
2021-04-29,393.4003295898,386.49902648927,372.993997802742,1,1
2021-04-30,390.8154602051,387.280561828625,373.515748901376,1,1
2021-05-03,391.6584472656,387.834992980965,374.06724243164797,1,1
2021-05-04,389.2421569824,388.27984771728995,374.626420288092,1,1
2021-05-05,389.3638000488,388.70877685547003,375.179253540044,1,1
2021-05-06,392.4731750488,389.202798461915,375.71455688477,1,1
2021-05-07,395.3295288086,389.700564575195,376.483225708012,1,1
2021-05-10,391.4149169922,389.99557495117,377.21038391113797,1,1
2021-05-11,387.9216003418,390.05878753662,377.69554199219203,1,1
2021-05-12,379.6801452637,389.775953674315,378.07262512207603,1,1
2021-05-13,384.2410583496,389.514192199705,378.63651672363795,1,1
